,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp.,Wind Speed
0,Valdivia,0,CL,1569541876,82,-39.81,-73.25,64.4,4.7
1,Jalcocotan,75,MX,1569541877,78,21.48,-105.1,77.0,11.41
2,Vaini,100,IN,1569541877,94,15.34,74.49,73.08,2.77
3,Castro,0,CL,1569541877,67,-42.48,-73.76,57.2,5.82
4,Carbonia,0,IT,1569541878,77,39.17,8.53,69.8,14.99
5,Dikson,100,RU,1569541878,93,73.51,80.55,35.15,8.88
6,Bredasdorp,0,ZA,1569541832,61,-34.53,20.04,63.0,3.36
7,Saint-Philippe,75,CA,1569541795,87,45.36,-73.48,59.0,3.36
8,Hermanus,0,ZA,1569541879,45,-34.42,19.24,70.0,4.0
9,Ponta do Sol,100,BR,1569541879,96,-20.63,-46.0,62.39,2.35
10,Kaihua,1,CN,1569541880,65,29.14,118.41,70.2,2.71
11,Yellowknife,75,CA,1569541880,69,62.45,-114.38,35.6,10.29
12,Hilo,75,US,1569541880,66,19.71,-155.08,87.8,12.75
13,Salinopolis,12,BR,1569541881,81,-0.61,-47.36,81.86,18.5
14,Ushuaia,0,AR,1569541593,94,-54.81,-68.31,48.2,5.82
15,Punta Arenas,0,CL,1569541881,72,-53.16,-70.91,48.2,18.34
16,Cabo San Lucas,5,MX,1569541797,62,22.89,-109.91,87.01,20.8
17,Ribeira Grande,0,PT,1569541882,88,38.52,-28.7,72.21,11.48
18,Busselton,47,AU,1569541882,62,-33.64,115.35,57.0,12.84
19,Norman Wells,75,CA,1569541883,69,65.28,-126.83,41.0,12.75
20,East London,0,ZA,1569541883,20,-33.02,27.91,65.12,4.68
21,Poya,62,NC,1569541883,74,-21.35,165.16,69.24,15.95
22,Mataura,98,NZ,1569541884,86,-46.19,168.86,51.01,10.0
23,Chokurdakh,31,RU,1569541884,73,70.62,147.9,30.09,12.88
24,Albany,90,US,1569541709,93,42.65,-73.75,59.0,3.62
25,Port Alfred,0,ZA,1569541884,81,-33.59,26.89,59.0,4.09
26,Pevek,63,RU,1569541823,68,69.7,170.27,32.76,13.65
27,Namatanai,46,PG,1569541885,72,-3.66,152.44,82.11,10.0
