,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp.,Wind Speed
0,Tabuk,41,PH,1569541279,84,17.41,121.44,71.96,2.33
1,Castro,0,CL,1569541090,67,-42.48,-73.76,57.2,5.82
2,Qaanaaq,100,GL,1569541059,94,77.48,-69.36,31.24,17.52
3,Bambous Virieux,40,MU,1569541066,94,-20.34,57.76,73.0,8.05
4,Busselton,29,AU,1569541103,64,-33.64,115.35,55.99,12.86
5,Lypova Dolyna,100,UA,1569541280,71,50.56,33.8,50.38,10.2
6,Lovozero,49,RU,1569541280,93,68.01,35.02,29.01,3.51
7,Cabo San Lucas,5,MX,1569540894,62,22.89,-109.91,88.0,20.8
8,Inhambane,31,MZ,1569541188,82,-23.87,35.38,58.33,4.88
9,Chokurdakh,44,RU,1569541065,75,70.62,147.9,30.31,13.73
10,Rikitea,100,PF,1569541063,70,-23.12,-134.97,71.83,9.73
11,Nemuro,0,JP,1569541122,55,43.32,145.57,59.14,3.74
12,Hilo,75,US,1569540782,66,19.71,-155.08,87.8,12.75
13,Khatanga,99,RU,1569541142,95,71.98,102.47,31.58,9.22
14,Saint-Georges,100,CA,1569541182,100,46.12,-70.67,55.0,5.99
15,Kuandian,0,CN,1569541282,71,40.73,124.78,65.84,1.54
16,Atuona,54,PF,1569541057,76,-9.8,-139.03,79.72,15.55
17,Papara,0,BR,1569541283,69,-3.98,-38.73,80.6,12.75
18,Mataura,97,NZ,1569541095,85,-46.19,168.86,51.01,14.0
19,Xichang,58,CN,1569541285,92,27.88,102.25,46.33,2.71
20,Kieta,0,PG,1569541285,74,-6.22,155.63,82.15,1.25
21,Ilulissat,20,GL,1569541073,27,69.22,-51.1,41.0,21.92
22,Luderitz,94,NA,1569541176,36,-26.65,15.16,75.2,2.24
23,Punta Arenas,0,CL,1569541060,74,-53.16,-70.91,48.2,18.34
24,Boa Vista,0,BR,1569541229,58,2.82,-60.67,86.0,3.36
25,Pandan,0,PH,1569541286,72,11.72,122.09,82.33,3.85
26,Severo-Kurilsk,100,RU,1569541156,82,50.68,156.12,45.68,32.28
27,Henties Bay,100,NA,1569541241,69,-22.12,14.28,63.3,4.94
28,Tuktoyaktuk,75,CA,1569541065,93,69.44,-133.03,37.4,18.34
29,Tuatapere,99,NZ,1569541187,85,-46.13,167.69,51.01,14.0
30,Ushuaia,0,AR,1569540990,96,-54.81,-68.31,48.2,5.82
31,Fortuna,20,US,1569541044,68,40.6,-124.16,73.99,10.29
32,East London,0,ZA,1569541088,20,-33.02,27.91,64.81,4.56
33,Tawau,75,MY,1569541288,88,4.26,117.89,77.0,3.36
34,Poum,73,MK,1569541236,90,41.28,20.71,50.83,1.34
35,Namatanai,27,PG,1569541074,71,-3.66,152.44,82.85,9.86
36,New Norfolk,75,AU,1569541150,39,-42.78,147.06,66.0,13.87
37,Atar,0,MR,1569541125,13,20.52,-13.05,93.97,3.11
38,Anloga,20,GH,1569541289,88,5.79,0.9,78.8,6.93
39,Constitucion,90,MX,1569541212,38,23.99,-104.67,75.2,4.7
40,Sorong,84,ID,1569541239,90,-0.86,131.25,77.39,4.7
41,Bajah,80,YE,1569541289,50,13.81,44.63,66.74,4.92
42,Esperance,90,AU,1569541152,100,-33.86,121.89,53.6,5.82
43,Hermanus,0,ZA,1569541088,48,-34.42,19.24,70.0,1.01
44,Kodiak,1,US,1569541065,52,39.95,-94.76,73.4,6.93
45,Faanui,47,PF,1569541123,78,-16.48,-151.75,79.97,15.79
46,Karasuk,69,RU,1569541291,55,53.73,78.03,37.36,7.16
47,Torbay,90,CA,1569541061,93,47.66,-52.73,51.01,14.99
48,Bluff,15,AU,1569541091,48,-23.58,149.07,73.9,9.08
49,Jamestown,10,AU,1569541054,30,-33.21,138.6,66.61,15.68
50,Vaini,100,IN,1569541109,94,15.34,74.49,73.7,2.62
51,Avarua,69,CK,1569540865,78,-21.21,-159.78,78.8,4.7
52,Puerto Ayora,90,EC,1569541101,73,-0.74,-90.35,73.4,6.93
53,Bali Chak,100,IN,1569541293,94,22.37,87.55,74.0,2.42
54,Hobart,75,AU,1569541070,39,-42.88,147.33,66.0,13.87
55,Leh,0,IN,1569541150,50,34.16,77.58,36.12,0.72
56,Ahuimanu,75,US,1569541294,78,21.44,-157.84,86.0,9.17
57,Batemans Bay,0,AU,1569541300,49,-35.71,150.18,61.0,5.99
58,Cidreira,3,BR,1569541120,84,-30.17,-50.22,61.57,5.46
59,Cape Town,0,ZA,1569541066,72,-33.93,18.42,63.0,2.24
60,Saskylakh,95,RU,1569541097,96,71.97,114.09,31.03,8.3
61,Maceio,0,BR,1569541301,88,-9.67,-35.74,71.6,6.93
62,Tiksi,99,RU,1569541156,88,71.64,128.87,34.41,3.53
63,Coihaique,0,CL,1569541196,47,-45.58,-72.07,59.0,6.93
64,Puerto Narino,40,CO,1569541301,88,-3.77,-70.38,82.4,2.06
65,Porto Velho,20,BR,1569541302,66,-8.75,-63.87,84.2,2.24
66,Ciudad Bolivar,21,VE,1569541200,65,8.12,-63.55,82.47,2.86
67,Thompson,75,CA,1569541195,52,55.74,-97.86,41.0,8.05
68,Altamira,20,BR,1569541223,89,-3.2,-52.21,72.59,1.97
69,Medzev,20,SK,1569541302,100,48.7,20.89,52.0,3.36
70,Koindu,100,GN,1569541303,99,8.44,-10.33,69.93,2.91
71,Prince George,90,CA,1569541137,57,53.92,-122.75,51.01,3.36
72,Sao Filipe,39,CV,1569541186,84,14.9,-24.5,77.9,15.66
73,Naze,75,NG,1569541072,100,5.43,7.07,77.0,4.21
74,Tura,99,RU,1569541185,98,64.27,100.22,28.88,0.87
75,Dingle,2,PH,1569541106,78,11.0,122.67,80.47,3.62
76,Saint-Philippe,1,CA,1569541067,87,45.36,-73.48,59.0,10.29
77,San Cristobal,90,HN,1569541160,87,14.68,-86.92,71.49,4.21
78,Dikson,99,RU,1569541129,90,73.51,80.55,35.08,8.81
79,Parintins,82,BR,1569541304,72,-2.63,-56.73,80.01,2.93
80,Harper,1,US,1569541245,36,30.3,-99.24,93.2,8.05
81,Lavrentiya,100,RU,1569541130,98,65.58,-170.99,36.93,15.57
82,Oranjestad,20,AW,1569541145,74,12.52,-70.03,86.0,8.05
